Year,Region,Age,Gender,Adult150MinActivity,ContactWithDoctor,Drinking,FruitVeg,HighLifeSatisfact,HighLifeStress,MentalHealthFairPoor,MentalHealthGoodEx,MoodDisorder,RegularHealthcare,StrongBelonging,Youth60MinActivity
2015/2016,Canada,12-17,All,NA,1273500,89300,593000,2089900,277100,92300,1663700,111000,1801700,1787700,1163500
2015/2016,Canada,12-17,Female,NA,640200,42000,305200,1022300,180200,61000,794800,60800,894800,875600,492300
2015/2016,Canada,12-17,Male,NA,633300,47300,287800,1067600,96900,31300,868900,50200,906800,912100,671200
2015/2016,Canada,18-34,All,5428300,5084300,2415400,2403900,7635800,1755300,564200,5702200,689300,5852700,4934400,NA
2015/2016,Canada,18-34,Female,2519300,2979100,975000,1432600,3821400,953200,327600,2738100,444800,3188500,2557700,NA
2015/2016,Canada,18-34,Male,2909000,2105200,1440300,971300,3814500,802100,236600,2964200,244500,2664200,2376700,NA
2015/2016,Canada,35-49,All,4190500,5045200,1502000,2224100,6463000,2041800,444900,5012400,632100,5793700,4642600,NA
2015/2016,Canada,35-49,Female,1987200,2726700,555300,1400100,3255500,1081700,263000,2441300,420400,3085700,2370300,NA
2015/2016,Canada,35-49,Male,2203300,2318500,946800,824000,3207600,960200,181900,2571100,211700,2708000,2272300,NA
2015/2016,Canada,50-64,All,4230400,5765000,1409600,2130400,6670100,1800300,518000,5255900,713600,6558100,4950500,NA
2015/2016,Canada,50-64,Female,2042700,3050500,515700,1374600,3343800,960200,281700,2595500,450600,3384000,2456400,NA
2015/2016,Canada,50-64,Male,2187700,2714500,893900,755800,3326300,840100,236300,2660400,263000,3174100,2494100,NA
2015/2016,Canada,65+,All,2199100,4574300,384000,1483500,4539400,662400,280900,3609200,343900,5193900,3720500,NA
2015/2016,Canada,65+,Female,1074600,2454800,125400,973500,2478600,399400,155500,1952500,227700,2805900,2028800,NA
2015/2016,Canada,65+,Male,1124400,2119500,258600,510000,2060800,263000,125400,1656700,116300,2388000,1691700,NA
2015/2016,Canada,Total,All,16048200,21742300,5800300,8834900,27398200,6536900,1900200,21243500,2489900,25200000,20035800,1163500
2015/2016,Canada,Total,Female,7623900,11851300,2213500,5486000,13921500,3574700,1088800,10522200,1604200,13358900,10288800,492300
2015/2016,Canada,Total,Male,8424300,9891000,3586800,3348900,13476700,2962300,811500,10721300,885700,11841100,9747000,671200
2015/2016,Ontario,12-17,All,NA,525200,31700,193800,835200,120000,42800,657000,50800,796400,715800,480600
2015/2016,Ontario,12-17,Female,NA,267000,12800,97400,404500,78700,30500,308900,26200,398200,354000,193400
2015/2016,Ontario,12-17,Male,NA,258200,18900,96400,430700,41300,12300,348100,24600,398200,361800,287200
2015/2016,Ontario,18-34,All,2097900,1994900,921200,806800,2963000,676000,234400,2181700,279300,2565300,1989800,NA
2015/2016,Ontario,18-34,Female,999700,1152000,378100,495800,1501100,391400,138500,1069200,176800,1361500,1062600,NA
2015/2016,Ontario,18-34,Male,1098100,842900,543100,311000,1461900,284600,95900,1112500,102500,1203800,927300,NA
2015/2016,Ontario,35-49,All,1614100,1921200,513800,791600,2466500,778900,176400,1963300,244500,2418600,1842300,NA
2015/2016,Ontario,35-49,Female,786900,1038400,178700,501100,1265000,408100,110400,971200,165100,1286100,955100,NA
2015/2016,Ontario,35-49,Male,827200,882800,335100,290600,1201500,370800,66000,992100,79400,1132500,887200,NA
2015/2016,Ontario,50-64,All,1612500,2204200,546200,762900,2542400,735100,209800,1975500,303400,2648100,1995200,NA
2015/2016,Ontario,50-64,Female,781800,1170600,198300,494800,1291200,389400,118700,980300,184400,1351500,997600,NA
2015/2016,Ontario,50-64,Male,830700,1033600,348000,268100,1251200,345600,91100,995200,119000,1296700,997700,NA
2015/2016,Ontario,65+,All,848500,1725600,132700,517400,1699400,292100,120100,1351000,153200,2011700,1462600,NA
2015/2016,Ontario,65+,Female,422700,933900,38800,325600,943900,175600,65500,736900,102500,1099600,806400,NA
2015/2016,Ontario,65+,Male,425800,791600,93900,191800,755500,116500,54600,614100,50700,912100,656200,NA
2015/2016,Ontario,Total,All,6172900,8371000,2145700,3072500,10506600,2602100,783400,8128500,1031200,10440200,8005700,480600
2015/2016,Ontario,Total,Female,2991200,4561900,806600,1914600,5405800,1443300,463600,4066600,655000,5496900,4175700,193400
2015/2016,Ontario,Total,Male,3181700,3809100,1339000,1157900,5100800,1158800,319800,4061900,376200,4943300,3830000,287200
2015/2016,WDG,12-17,All,NA,11300,NA,3800,17100,NA,NA,13600,NA,19800,14400,10400
2015/2016,WDG,12-17,Female,NA,6100,NA,2600,9800,NA,NA,7200,NA,9900,8200,5900
2015/2016,WDG,12-17,Male,NA,5200,NA,NA,7300,NA,NA,6300,NA,9900,6200,4500
2015/2016,WDG,18-34,All,48000,39100,17500,24600,64400,13100,4300,47100,5800,55600,47200,NA
2015/2016,WDG,18-34,Female,22700,22900,5700,14000,31900,7800,3700,22700,3400,30000,23000,NA
2015/2016,WDG,18-34,Male,25300,16200,11800,10600,32600,5400,NA,24400,NA,25600,24200,NA
2015/2016,WDG,35-49,All,36600,35900,9500,16100,47600,20300,9300,31300,9100,52300,34500,NA
2015/2016,WDG,35-49,Female,18000,21600,NA,12300,22900,10300,NA,14500,7000,26200,18400,NA
2015/2016,WDG,35-49,Male,18500,14300,7100,NA,24700,10000,NA,16800,NA,26100,16100,NA
2015/2016,WDG,50-64,All,37100,43900,12400,21000,56000,17200,NA,45100,3900,56600,43000,NA
2015/2016,WDG,50-64,Female,18800,23200,4700,14100,27900,9200,NA,22100,3200,29300,23700,NA
2015/2016,WDG,50-64,Male,18300,20700,7700,6900,28000,8000,NA,22900,NA,27300,19400,NA
2015/2016,WDG,65+,All,14700,34900,2500,10900,33700,6000,NA,29500,5800,39300,27500,NA
2015/2016,WDG,65+,Female,7600,18500,NA,8400,17800,NA,NA,16900,NA,21600,16200,NA
2015/2016,WDG,65+,Male,7100,16400,2000,NA,15900,NA,NA,12600,NA,17700,11400,NA
2015/2016,WDG,Total,All,136400,165200,42100,76400,218800,59100,19700,166600,26800,223500,166600,10400
2015/2016,WDG,Total,Female,67200,92300,13100,51300,110200,31500,13500,83500,18500,117100,89300,5900
2015/2016,WDG,Total,Male,69300,73000,29000,25100,108600,27600,6100,83100,8300,106500,77300,4500
2017/2018,Canada,12-17,All,NA,NA,85900,NA,2095900,284900,135600,1608200,101200,1915300,1804400,1090600
2017/2018,Canada,12-17,Female,NA,NA,46200,NA,1021900,185700,86600,743200,65900,956700,894600,470800
2017/2018,Canada,12-17,Male,NA,NA,39600,NA,1073900,99200,49100,865000,35200,958600,909800,619800
2017/2018,Canada,18-34,All,5385600,NA,2401900,NA,7697200,1883300,737200,5371800,783900,6100500,4980300,NA
2017/2018,Canada,18-34,Female,2464000,NA,985900,NA,3831800,1017700,447300,2493300,506100,3303800,2571900,NA
2017/2018,Canada,18-34,Male,2921600,NA,1416000,NA,3865300,865700,289900,2878600,277800,2796700,2408400,NA
2017/2018,Canada,35-49,All,4199600,NA,1643400,NA,6575100,2034600,519000,4886300,672900,5950500,4703100,NA
2017/2018,Canada,35-49,Female,2025300,NA,652500,NA,3308200,1081500,291200,2385000,426800,3157600,2422800,NA
2017/2018,Canada,35-49,Male,2174300,NA,990800,NA,3267000,953100,227800,2501300,246100,2792900,2280300,NA
2017/2018,Canada,50-64,All,4091100,NA,1421300,NA,6745100,1800400,558000,5171700,766300,6762900,4994100,NA
2017/2018,Canada,50-64,Female,1981500,NA,537600,NA,3394800,917900,299400,2561800,484000,3470700,2503500,NA
2017/2018,Canada,50-64,Male,2109600,NA,883600,NA,3350200,882500,258700,2609900,282300,3292200,2490600,NA
2017/2018,Canada,65+,All,2281000,NA,455400,NA,4961400,649800,285800,3970700,407700,5635000,4117800,NA
2017/2018,Canada,65+,Female,1106100,NA,153900,NA,2694300,398800,153400,2139800,255000,3034700,2232100,NA
2017/2018,Canada,65+,Male,1174900,NA,301400,NA,2267000,250900,132400,1830900,152600,2600300,1885800,NA
2017/2018,Canada,Total,All,15957400,NA,6007800,NA,28074500,6653000,2235700,21008600,2732000,26364300,20599600,1090600
2017/2018,Canada,Total,Female,7576900,NA,2376200,NA,14251100,3601600,1277800,10323000,1737900,13923500,10624800,470800
2017/2018,Canada,Total,Male,8380500,NA,3631600,NA,13823400,3051400,957900,10685600,994100,12440800,9974800,619800
2017/2018,Ontario,12-17,All,NA,NA,29400,NA,836600,122500,62300,613400,42300,826300,718400,439100
2017/2018,Ontario,12-17,Female,NA,NA,18400,NA,405700,81300,41200,275700,28700,406500,353300,185400
2017/2018,Ontario,12-17,Male,NA,NA,11000,NA,430900,41200,21100,337700,13600,419800,365100,253800
2017/2018,Ontario,18-34,All,2107100,NA,864700,NA,3057700,740200,310700,2108200,327600,2706800,2008800,NA
2017/2018,Ontario,18-34,Female,973700,NA,360000,NA,1537400,392600,204500,985300,211200,1422500,1051200,NA
2017/2018,Ontario,18-34,Male,1133400,NA,504700,NA,1520300,347500,106200,1122900,116400,1284300,957600,NA
2017/2018,Ontario,35-49,All,1594400,NA,571400,NA,2518400,758100,201000,1884000,262900,2448600,1871000,NA
2017/2018,Ontario,35-49,Female,793700,NA,232800,NA,1278900,400800,118200,943300,170800,1287700,977500,NA
2017/2018,Ontario,35-49,Male,800700,NA,338500,NA,1239500,357300,82800,940700,92100,1160900,893500,NA
2017/2018,Ontario,50-64,All,1527100,NA,525500,NA,2622400,732900,233800,2005800,325500,2719700,1982900,NA
2017/2018,Ontario,50-64,Female,765900,NA,194300,NA,1326800,378700,123400,1010100,197000,1400000,1011000,NA
2017/2018,Ontario,50-64,Male,761200,NA,331300,NA,1295500,354200,110400,995700,128500,1319800,971900,NA
2017/2018,Ontario,65+,All,852600,NA,151200,NA,1870300,273400,115900,1504200,164400,2196900,1634900,NA
2017/2018,Ontario,65+,Female,430600,NA,56500,NA,1022300,177300,67300,817800,101800,1191700,886300,NA
2017/2018,Ontario,65+,Male,422000,NA,94700,NA,848100,96100,48600,686400,62500,1005100,748600,NA
2017/2018,Ontario,Total,All,6081200,NA,2142200,NA,10905400,2627000,923600,8115500,1122800,10898300,8216000,439100
2017/2018,Ontario,Total,Female,2963900,NA,861900,NA,5571100,1430700,554600,4032100,709500,5708300,4279200,185400
2017/2018,Ontario,Total,Male,3117300,NA,1280200,NA,5334300,1196300,369000,4083400,413200,5190000,3936800,253800
2017/2018,WDG,12-17,All,NA,NA,NA,NA,19800,NA,NA,14000,NA,17900,17600,8500
2017/2018,WDG,12-17,Female,NA,NA,NA,NA,9900,NA,NA,6300,NA,9500,8500,4300
2017/2018,WDG,12-17,Male,NA,NA,NA,NA,9900,NA,NA,7700,NA,8400,9100,4200
2017/2018,WDG,18-34,All,49500,NA,20700,NA,65900,17000,9400,45000,6200,58900,46500,NA
2017/2018,WDG,18-34,Female,23000,NA,9500,NA,33600,8500,6300,21800,3100,31900,24100,NA
2017/2018,WDG,18-34,Male,26600,NA,11300,NA,32300,8500,NA,23200,3100,27000,22400,NA
2017/2018,WDG,35-49,All,32400,NA,17400,NA,52300,16800,6100,37700,7100,53700,40300,NA
2017/2018,WDG,35-49,Female,15100,NA,9100,NA,25400,8500,3200,16800,5700,27200,22400,NA
2017/2018,WDG,35-49,Male,17300,NA,8300,NA,26900,8300,NA,20900,NA,26600,17900,NA
2017/2018,WDG,50-64,All,30200,NA,10100,NA,53500,20000,7600,36900,11100,59300,46000,NA
2017/2018,WDG,50-64,Female,12600,NA,NA,NA,27500,10700,5000,16800,6700,30800,22200,NA
2017/2018,WDG,50-64,Male,17600,NA,6500,NA,26000,9300,NA,20200,NA,28500,23800,NA
2017/2018,WDG,65+,All,18400,NA,4000,NA,37600,6800,NA,31800,6400,44900,31400,NA
2017/2018,WDG,65+,Female,9600,NA,NA,NA,21500,2600,NA,18200,3700,24000,17300,NA
2017/2018,WDG,65+,Male,8800,NA,2100,NA,16200,4100,NA,13600,NA,20900,14100,NA
2017/2018,WDG,Total,All,130600,NA,52200,NA,229200,63200,26400,165400,31800,234800,181800,8500
2017/2018,WDG,Total,Female,60200,NA,24100,NA,117900,32600,17200,79800,19900,123500,94500,4300
2017/2018,WDG,Total,Male,70400,NA,28200,NA,111200,30600,9200,85600,11900,111300,87300,4200
