"Year","Region","Age","Gender","Adult150MinActivity","ContactWithDoctor","Drinking","FruitVeg","HighLifeSatisfact","HighLifeStress","MentalHealthFairPoor","MentalHealthGoodEx","MoodDisorder","RegularHealthcare","StrongBelonging","Youth60MinActivity"
"2015/2016","Canada","12-17","All",NA,59.3,4,30.2,97.6,12.4,4.3,77.6,5,82.5,84.6,59.8
"2015/2016","Canada","12-17","Female",NA,61,3.9,31.3,97.4,16.6,5.8,75.5,5.6,83.6,84.8,52.7
"2015/2016","Canada","12-17","Male",NA,57.6,4.1,29.1,97.8,8.4,2.9,79.6,4.4,81.4,84.4,66.4
"2015/2016","Canada","18-34","All",67.6,63.8,29.8,30.8,95.4,21.6,7,71.1,8.5,72.5,61.9,NA
"2015/2016","Canada","18-34","Female",63,75.3,24.2,36.6,95.8,23.5,8.2,68.4,11,79.4,64.2,NA
"2015/2016","Canada","18-34","Male",72.2,52.5,35.3,25,95,19.6,5.9,73.8,6,65.7,59.6,NA
"2015/2016","Canada","35-49","All",60.1,73.6,21.4,32.4,93,29,6.4,71.7,8.9,83,67.2,NA
"2015/2016","Canada","35-49","Female",56.7,79.6,15.7,40.3,92.7,30.6,7.5,69.2,11.8,87.9,67.8,NA
"2015/2016","Canada","35-49","Male",63.6,67.6,27.2,24.4,93.4,27.4,5.3,74.4,6,77.9,66.5,NA
"2015/2016","Canada","50-64","All",57.2,79,18.9,29.5,90.7,24.1,7,71.2,9.5,88.7,67.9,NA
"2015/2016","Canada","50-64","Female",55,83.4,13.7,37.8,90.5,25.6,7.6,70,12,91.2,67.1,NA
"2015/2016","Canada","50-64","Male",59.4,74.5,24.1,21,90.9,22.6,6.4,72.5,7,86.1,68.7,NA
"2015/2016","Canada","65+","All",40.5,85.4,6.9,30.4,89.8,11.9,5.5,70.4,6.1,94,74.4,NA
"2015/2016","Canada","65+","Female",36.8,85.3,4.2,36.6,89.7,13.4,5.5,69.5,7.5,94.2,74.3,NA
"2015/2016","Canada","65+","Male",44.9,85.5,10.1,23.1,90,10.3,5.4,71.5,4.5,93.8,74.6,NA
"2015/2016","Canada","Total","All",57.7,73.4,19.1,30.8,92.9,21.5,6.4,71.6,8.2,83.6,68.4,59.8
"2015/2016","Canada","Total","Female",53.9,79.2,14.4,37.4,92.7,23.2,7.2,69.7,10.4,87.4,69,52.7
"2015/2016","Canada","Total","Male",61.6,67.4,24,23.8,93,19.7,5.6,73.7,5.9,79.6,67.8,66.4
"2015/2016","Ontario","12-17","All",NA,60.9,3.5,24.5,97.5,13.3,5,76.6,5.6,90.5,84.8,60
"2015/2016","Ontario","12-17","Female",NA,62.8,2.9,25.1,97.2,17.9,7.3,73.9,6,91.7,86.8,50.7
"2015/2016","Ontario","12-17","Male",NA,59.1,4.1,24,97.7,8.9,2.8,79.1,5.3,89.3,83,68.5
"2015/2016","Ontario","18-34","All",67.2,64.7,29,26.7,95.1,21.2,7.5,69.8,8.8,81.8,64.1,NA
"2015/2016","Ontario","18-34","Female",63.5,74.4,23.8,32.1,95.8,24.5,8.8,67.7,11.1,86.5,67.7,NA
"2015/2016","Ontario","18-34","Male",70.9,54.9,34.3,21,94.4,18,6.2,71.9,6.5,77.1,60.5,NA
"2015/2016","Ontario","35-49","All",60.2,73.9,19,30,92.7,28.7,6.6,73.1,9,90.5,69.3,NA
"2015/2016","Ontario","35-49","Female",57.3,79,12.9,36.7,92.2,29.4,8,70.2,11.8,94.2,69.8,NA
