"Year","Region","Age","Gender","Adult150MinActivity","ContactWithDoctor","Drinking","FruitVeg","HighLifeSatisfact","HighLifeStress","MentalHealthFairPoor","MentalHealthGoodEx","MoodDisorder","RegularHealthcare","StrongBelonging","Youth60MinActivity"
"2015/2016","Canada","12-17","All",NA,59300,4000,30200,97600,12400,4300,77600,5000,82500,84600,59800
"2015/2016","Canada","12-17","Female",NA,61000,3900,31300,97400,16600,5800,75500,5600,83600,84800,52700
"2015/2016","Canada","12-17","Male",NA,57600,4100,29100,97800,8400,2900,79600,4400,81400,84400,66400
"2015/2016","Canada","18-34","All",67600,63800,29800,30800,95400,21600,7000,71100,8500,72500,61900,NA
"2015/2016","Canada","18-34","Female",63000,75300,24200,36600,95800,23500,8200,68400,11000,79400,64200,NA
"2015/2016","Canada","18-34","Male",72200,52500,35300,25000,95000,19600,5900,73800,6000,65700,59600,NA
"2015/2016","Canada","35-49","All",60100,73600,21400,32400,93000,29000,6400,71700,8900,83000,67200,NA
"2015/2016","Canada","35-49","Female",56700,79600,15700,40300,92700,30600,7500,69200,11800,87900,67800,NA
"2015/2016","Canada","35-49","Male",63600,67600,27200,24400,93400,27400,5300,74400,6000,77900,66500,NA
"2015/2016","Canada","50-64","All",57200,79000,18900,29500,90700,24100,7000,71200,9500,88700,67900,NA
"2015/2016","Canada","50-64","Female",55000,83400,13700,37800,90500,25600,7600,70000,12000,91200,67100,NA
"2015/2016","Canada","50-64","Male",59400,74500,24100,21000,90900,22600,6400,72500,7000,86100,68700,NA
"2015/2016","Canada","65+","All",40500,85400,6900,30400,89800,11900,5500,70400,6100,94000,74400,NA
"2015/2016","Canada","65+","Female",36800,85300,4200,36600,89700,13400,5500,69500,7500,94200,74300,NA
"2015/2016","Canada","65+","Male",44900,85500,10100,23100,90000,10300,5400,71500,4500,93800,74600,NA
"2015/2016","Canada","Total","All",57700,73400,19100,30800,92900,21500,6400,71600,8200,83600,68400,59800
"2015/2016","Canada","Total","Female",53900,79200,14400,37400,92700,23200,7200,69700,10400,87400,69000,52700
"2015/2016","Canada","Total","Male",61600,67400,24000,23800,93000,19700,5600,73700,5900,79600,67800,66400
"2015/2016","Ontario","12-17","All",NA,60900,3500,24500,97500,13300,5000,76600,5600,90500,84800,60000
"2015/2016","Ontario","12-17","Female",NA,62800,2900,25100,97200,17900,7300,73900,6000,91700,86800,50700
"2015/2016","Ontario","12-17","Male",NA,59100,4100,24000,97700,8900,2800,79100,5300,89300,83000,68500
"2015/2016","Ontario","18-34","All",67200,64700,29000,26700,95100,21200,7500,69800,8800,81800,64100,NA
"2015/2016","Ontario","18-34","Female",63500,74400,23800,32100,95800,24500,8800,67700,11100,86500,67700,NA
"2015/2016","Ontario","18-34","Male",70900,54900,34300,21000,94400,18000,6200,71900,6500,77100,60500,NA
"2015/2016","Ontario","35-49","All",60200,73900,19000,30000,92700,28700,6600,73100,9000,90500,69300,NA
"2015/2016","Ontario","35-49","Female",57300,79000,12900,36700,92200,29400,8000,70200,11800,94200,69800,NA
"2015/2016","Ontario","35-49","Male",63300,68700,25500,22800,93200,27900,5100,76100,6000,86600,68900,NA
"2015/2016","Ontario","50-64","All",56300,79300,18900,27600,90300,25500,7400,69900,10500,93800,71400,NA
"2015/2016","Ontario","50-64","Female",53900,83500,13500,35300,90400,26600,8300,68300,12500,94700,70400,NA
"2015/2016","Ontario","50-64","Male",58800,75000,24500,19700,90200,24400,6500,71500,8300,92900,72300,NA
"2015/2016","Ontario","65+","All",40800,85200,6200,28100,89400,13800,6200,69900,7100,96100,77200,NA
"2015/2016","Ontario","65+","Female",37400,85200,3300,31900,89900,15300,6100,69000,8800,96500,77100,NA
"2015/2016","Ontario","65+","Male",44700,85200,9700,23300,88800,12000,6300,71100,5200,95500,77400,NA
"2015/2016","Ontario","Total","All",57400,73700,18200,27800,92600,22000,6900,71100,8700,89900,70900,60000
"2015/2016","Ontario","Total","Female",54100,78800,13300,33500,92600,23900,7900,69100,10800,92500,71900,50700
"2015/2016","Ontario","Total","Male",61000,68400,23300,21700,92500,20100,5800,73300,6500,87300,69900,68500
"2015/2016","WDG","12-17","All",NA,56800,NA,27000,97000,NA,NA,79400,NA,97600,84800,59600
"2015/2016","WDG","12-17","Female",NA,61900,NA,32200,1e+05,NA,NA,73900,NA,98900,84500,75300
"2015/2016","WDG","12-17","Male",NA,51900,NA,NA,93300,NA,NA,86700,NA,96400,85300,46800
"2015/2016","WDG","18-34","All",73100,60700,26400,37400,97200,19800,6600,71100,8800,86300,71200,NA
"2015/2016","WDG","18-34","Female",69800,72100,17300,42900,96300,23400,11200,68700,10500,94400,69400,NA
"2015/2016","WDG","18-34","Male",76400,49700,35500,32000,98200,16100,NA,73500,NA,78300,72900,NA
"2015/2016","WDG","35-49","All",65900,66400,16900,29300,86200,36100,16700,56600,16200,96000,63900,NA
"2015/2016","WDG","35-49","Female",65400,80300,NA,44300,81700,36900,NA,51900,25000,97000,69100,NA
"2015/2016","WDG","35-49","Male",66400,52600,25400,NA,90900,35400,NA,61300,NA,94900,58900,NA
"2015/2016","WDG","50-64","All",63500,73500,20500,36100,94800,28400,NA,76200,6400,94600,73000,NA
"2015/2016","WDG","50-64","Female",62600,76500,15400,48400,93500,30300,NA,74000,10600,96700,79400,NA
"2015/2016","WDG","50-64","Male",64400,70400,25600,23800,96200,26600,NA,78400,NA,92500,66400,NA
"2015/2016","WDG","65+","All",35200,86000,5900,30700,88900,14300,NA,78300,13700,95500,73100,NA
"2015/2016","WDG","65+","Female",33400,85400,NA,43000,88400,NA,NA,84100,NA,98100,80900,NA
"2015/2016","WDG","65+","Male",37300,86700,10600,15600,89400,NA,NA,71800,NA,92400,64300,NA
"2015/2016","WDG","Total","All",61600,69200,17100,33400,92700,24000,8300,70700,10900,93100,71300,59600
"2015/2016","WDG","Total","Female",59500,76600,10600,43900,91200,25300,11200,69100,14800,96600,75000,75300
"2015/2016","WDG","Total","Male",63800,61600,23900,22500,94300,22800,5300,72400,6900,89500,67400,46800
"2017/2018","Canada","12-17","All",NA,NA,3800,NA,97800,12700,6300,74900,4500,86500,85200,57800
"2017/2018","Canada","12-17","Female",NA,NA,4200,NA,97300,17100,8200,70700,6000,88300,86600,51600
"2017/2018","Canada","12-17","Male",NA,NA,3500,NA,98200,8600,4500,79000,3100,84800,84000,63500
"2017/2018","Canada","18-34","All",66200,NA,29200,NA,95100,22900,9100,66300,9500,74300,62000,NA
"2017/2018","Canada","18-34","Female",61100,NA,24200,NA,95100,24900,11100,61800,12400,81200,64300,NA
"2017/2018","Canada","18-34","Male",71100,NA,34200,NA,95100,20800,7100,70800,6700,67600,59600,NA
"2017/2018","Canada","35-49","All",59400,NA,23100,NA,93200,28400,7300,69200,9400,83600,67200,NA
"2017/2018","Canada","35-49","Female",56900,NA,18200,NA,92800,30000,8200,66800,11800,88200,68300,NA
"2017/2018","Canada","35-49","Male",61900,NA,28000,NA,93600,26800,6500,71600,6900,78900,66000,NA
"2017/2018","Canada","50-64","All",55100,NA,18900,NA,91200,23900,7500,69700,10100,89800,68200,NA
"2017/2018","Canada","50-64","Female",53100,NA,14200,NA,91100,24200,8000,68500,12700,91800,67800,NA
"2017/2018","Canada","50-64","Male",57200,NA,23600,NA,91400,23500,7000,70900,7500,87800,68600,NA
"2017/2018","Canada","65+","All",38900,NA,7600,NA,90800,10900,5200,71800,6800,94000,75900,NA
"2017/2018","Canada","65+","Female",35200,NA,4800,NA,90600,12400,5100,71000,7900,94400,75600,NA
"2017/2018","Canada","65+","Male",43200,NA,10900,NA,90900,9100,5300,72700,5500,93700,76300,NA
"2017/2018","Canada","Total","All",56000,NA,19300,NA,93100,21400,7400,69400,8800,84900,68900,57800
"2017/2018","Canada","Total","Female",52400,NA,15100,NA,92900,22800,8300,67000,11000,88500,69800,51600
"2017/2018","Canada","Total","Male",59700,NA,23700,NA,93400,19900,6400,71900,6500,81100,68000,63500
"2017/2018","Ontario","12-17","All",NA,NA,3300,NA,98000,13700,7300,71700,4700,92600,84800,57700
"2017/2018","Ontario","12-17","Female",NA,NA,4200,NA,98000,18800,9900,66500,6500,92800,86400,50400
"2017/2018","Ontario","12-17","Male",NA,NA,2400,NA,98000,8900,4800,76700,3000,92400,83400,64500
"2017/2018","Ontario","18-34","All",64900,NA,26300,NA,95000,22500,9600,65400,9900,82600,63000,NA
