Region	Year	Age	Gender	MentalHealthGoodEx	MentalHealthFairPoor	HighLifeStress	MoodDisorder	DailyOccasionalSmoker	DailySmoker	Drinking	Adult150MinActivity	Youth60MinActivity	FruitVeg	StrongBelonging	HighLifeSatisfact	RegularHealthcare	ContactWithDoctor
Canada	2015/2016	Total	All	21243500	1900200	6536900	2489900	5288200	3767200	5800300	16048200	1163500	8834900	20035800	27398200	25200000	21742300
Canada	2017/2018	Total	All	21008600	2235700	6653000	2732000	5002100	3513400	6007800	15957400	1090600	N/A	20599600	28074500	26364300	N/A
Canada	2015/2016	Total	Male	10721300	811500	2962300	885700	2999300	2112200	3586800	8424300	671200	3348900	9747000	13476700	11841100	9891000
Canada	2017/2018	Total	Male	10685600	957900	3051400	994100	2909600	2005000	3631600	8380500	619800	N/A	9974800	13823400	12440800	N/A
Canada	2015/2016	Total	Female 	10522200	1088800	3574700	1604200	2288900	1655000	2213500	7623900	492300	5486000	10288800	13921500	13358900	11851300
Canada	2017/2018	Total	Female 	10323000	1277800	3601600	1737900	2092600	1508300	2376200	7576900	470800	N/A	10624800	14251100	13923500	N/A
Canada	2015/2016	12-17	All	1663700	92300	277100	111000	88100	39000	89300	N/A	1163500	593000	1787700	2089900	1801700	1273500
Canada	2017/2018	12-17	All	1608200	135600	284900	101200	75000	22800	85900	N/A	1090600	N/A	1804400	2095900	1915300	N/A
Canada	2015/2016	12-17	Male	868900	31300	96900	50200	47600	22800	47300	N/A	671200	287800	912100	1067600	906800	633300
Canada	2017/2018	12-17	Male	865000	49100	99200	35200	34800	10100	39600	N/A	619800	N/A	909800	1073900	958600	N/A
Canada	2015/2016	12-17	Female 	794800	61000	180200	60800	40400	16100	42000	N/A	492300	305200	875600	1022300	894800	640200
Canada	2017/2018	12-17	Female 	743200	86600	185700	65900	40200	12700	46200	N/A	470800	N/A	894600	1021900	956700	N/A
Canada	2015/2016	18-34	All	5702200	564200	1755300	689300	1765500	1048300	2415400	5428300	N/A	2403900	4934400	7635800	5852700	5084300
Canada	2017/2018	18-34	All	5371800	737200	1883300	783900	1590600	917600	2401900	5385600	N/A	N/A	4980300	7697200	6100500	N/A
Canada	2015/2016	18-34	Male	2964200	236600	802100	244500	1046100	619200	1440300	2909000	N/A	971300	2376700	3814500	2664200	2105200
Canada	2017/2018	18-34	Male	2878600	289900	865700	277800	963500	533300	1416000	2921600	N/A	N/A	2408400	3865300	2796700	N/A
Canada	2015/2016	18-34	Female 	2738100	327600	953200	444800	719400	429100	975000	2519300	N/A	1432600	2557700	3821400	3188500	2979100
Canada	2017/2018	18-34	Female 	2493300	447300	1017700	506100	627100	384300	985900	2464000	N/A	N/A	2571900	3831800	3303800	N/A
Canada	2015/2016	35-49	All	5012400	444900	2041800	632100	1356400	994900	1502000	4190500	N/A	2224100	4642600	6463000	5793700	5045200
Canada	2017/2018	35-49	All	4886300	519000	2034600	672900	1317900	945300	1643400	4199600	N/A	N/A	4703100	6575100	5950500	N/A
Canada	2015/2016	35-49	Male	2571100	181900	960200	211700	777300	556000	946800	2203300	N/A	824000	2272300	3207600	2708000	2318500
Canada	2017/2018	35-49	Male	2501300	227800	953100	246100	805600	566500	990800	2174300	N/A	N/A	2280300	3267000	2792900	N/A
Canada	2015/2016	35-49	Female 	2441300	263000	1081700	420400	579000	438900	555300	1987200	N/A	1400100	2370300	3255500	3085700	2726700
Canada	2017/2018	35-49	Female 	2385000	291200	1081500	426800	512300	378800	652500	2025300	N/A	N/A	2422800	3308200	3157600	N/A
Canada	2015/2016	50-64	All	5255900	518000	1800300	713600	1542300	1251400	1409600	4230400	N/A	2130400	4950500	6670100	6558100	5765000
Canada	2017/2018	50-64	All	5171700	558000	1800400	766300	1436000	1162300	1421300	4091100	N/A	N/A	4994100	6745100	6762900	N/A
Canada	2015/2016	50-64	Male	2660400	236300	840100	263000	852400	687200	893900	2187700	N/A	755800	2494100	3326300	3174100	2714500
Canada	2017/2018	50-64	Male	2609900	258700	882500	282300	806300	654900	883600	2109600	N/A	N/A	2490600	3350200	3292200	N/A
Canada	2015/2016	50-64	Female 	2595500	281700	960200	450600	689900	564300	515700	2042700	N/A	1374600	2456400	3343800	3384000	3050500
Canada	2017/2018	50-64	Female 	2561800	299400	917900	484000	629700	507400	537600	1981500	N/A	N/A	2503500	3394800	3470700	N/A
Canada	2015/2016	65+	All	3609200	280900	662400	343900	536000	433600	384000	2199100	N/A	1483500	3720500	4539400	5193900	4574300
Canada	2017/2018	65+	All	3970700	285800	649800	407700	582600	465400	455400	2281000	N/A	N/A	4117800	4961400	5635000	N/A
Canada	2015/2016	65+	Male	1656700	125400	263000	116300	275900	227000	258600	1124400	N/A	510000	1691700	2060800	2388000	2119500
Canada	2017/2018	65+	Male	1830900	132400	250900	152600	299300	240200	301400	1174900	N/A	N/A	1885800	2267000	2600300	N/A
Canada	2015/2016	65+	Female 	1952500	155500	399400	227700	260200	206600	125400	1074600	N/A	973500	2028800	2478600	2805900	2454800
Canada	2017/2018	65+	Female 	2139800	153400	398800	255000	283200	225200	153900	1106100	N/A	N/A	2232100	2694300	3034700	N/A
Ontario	2015/2016	Total	All	8128500	783400	2602100	1031200	1979700	1408100	2145700	6172900	480600	3072500	8005700	10506600	10440200	8371000
Ontario	2017/2018	Total	All	8115500	923600	2627000	1122800	1861900	1332800	2142200	6081200	439100	N/A	8216000	10905400	10898300	N/A
Ontario	2015/2016	Total	Male	4061900	319800	1158800	376200	1145300	800900	1339000	3181700	287200	1157900	3830000	5100800	4943300	3809100
Ontario	2017/2018	Total	Male	4083400	369000	1196300	413200	1108500	774000	1280200	3117300	253800	N/A	3936800	5334300	5190000	N/A
Ontario	2015/2016	Total	Female 	4066600	463600	1443300	655000	834400	607300	806600	2991200	193400	1914600	4175700	5405800	5496900	4561900
Ontario	2017/2018	Total	Female 	4032100	554600	1430700	709500	753400	558800	861900	2963900	185400	N/A	4279200	5571100	5708300	N/A
Ontario	2015/2016	12-17	All	657000	42800	120000	50800	30300	13800	31700	N/A	480600	193800	715800	835200	796400	525200
Ontario	2017/2018	12-17	All	613400	62300	122500	42300	28400	6900	29400	N/A	439100	N/A	718400	836600	826300	N/A
Ontario	2015/2016	12-17	Male	348100	12300	41300	24600	17000	9100	18900	N/A	287200	96400	361800	430700	398200	258200
Ontario	2017/2018	12-17	Male	337700	21100	41200	13600	14700	3100	11000	N/A	253800	N/A	365100	430900	419800	N/A
Ontario	2015/2016	12-17	Female 	308900	30500	78700	26200	13300	4800	12800	N/A	193400	97400	354000	404500	398200	267000
Ontario	2017/2018	12-17	Female 	275700	41200	81300	28700	13800	3900	18400	N/A	185400	N/A	353300	405700	406500	N/A
Ontario	2015/2016	18-34	All	2181700	234400	676000	279300	659100	383800	921200	2097900	N/A	806800	1989800	2963000	2565300	1994900
Ontario	2017/2018	18-34	All	2108200	310700	740200	327600	576900	343100	864700	2107100	N/A	N/A	2008800	3057700	2706800	N/A
Ontario	2015/2016	18-34	Male	1112500	95900	284600	102500	406000	230100	543100	1098100	N/A	311000	927300	1461900	1203800	842900
Ontario	2017/2018	18-34	Male	1122900	106200	347500	116400	355800	199800	504700	1133400	N/A	N/A	957600	1520300	1284300	N/A
Ontario	2015/2016	18-34	Female 	1069200	138500	391400	176800	253100	153700	378100	999700	N/A	495800	1062600	1501100	1361500	1152000
Ontario	2017/2018	18-34	Female 	985300	204500	392600	211200	221100	143300	360000	973700	N/A	N/A	1051200	1537400	1422500	N/A
Ontario	2015/2016	35-49	All	1963300	176400	778900	244500	495200	367700	513800	1614100	N/A	791600	1842300	2466500	2418600	1921200
Ontario	2017/2018	35-49	All	1884000	201000	758100	262900	486300	337000	571400	1594400	N/A	N/A	1871000	2518400	2448600	N/A
Ontario	2015/2016	35-49	Male	992100	66000	370800	79400	288600	209300	335100	827200	N/A	290600	887200	1201500	1132500	882800
Ontario	2017/2018	35-49	Male	940700	82800	357300	92100	307500	209800	338500	800700	N/A	N/A	893500	1239500	1160900	N/A
Ontario	2015/2016	35-49	Female 	971200	110400	408100	165100	206600	158400	178700	786900	N/A	501100	955100	1265000	1286100	1038400
Ontario	2017/2018	35-49	Female 	943300	118200	400800	170800	178800	127200	232800	793700	N/A	N/A	977500	1278900	1287700	N/A
Ontario	2015/2016	50-64	All	1975500	209800	735100	303400	608400	492000	546200	1612500	N/A	762900	1995200	2542400	2648100	2204200
Ontario	2017/2018	50-64	All	2005800	233800	732900	325500	558000	468700	525500	1527100	N/A	N/A	1982900	2622400	2719700	N/A
Ontario	2015/2016	50-64	Male	995200	91100	345600	119000	339100	275200	348000	830700	N/A	268100	997700	1251200	1296700	1033600
Ontario	2017/2018	50-64	Male	995700	110400	354200	128500	318800	268600	331300	761200	N/A	N/A	971900	1295500	1319800	N/A
Ontario	2015/2016	50-64	Female 	980300	118700	389400	184400	269400	216800	198300	781800	N/A	494800	997600	1291200	1351500	1170600
Ontario	2017/2018	50-64	Female 	1010100	123400	378700	197000	239100	200000	194300	765900	N/A	N/A	1011000	1326800	1400000	N/A
Ontario	2015/2016	65+	All	1351000	120100	292100	153200	186600	150800	132700	848500	N/A	517400	1462600	1699400	2011700	1725600
Ontario	2017/2018	65+	All	1504200	115900	273400	164400	212300	177100	151200	852600	N/A	N/A	1634900	1870300	2196900	N/A
Ontario	2015/2016	65+	Male	614100	54600	116500	50700	94600	77200	93900	425800	N/A	191800	656200	755500	912100	791600
