Region	Year	Age	Gender	MentalHealthGoodEx	MentalHealthFairPoor	HighLifeStress	MoodDisorder	DailyOccasionalSmoker	DailySmoker	Drinking	Adult150MinActivity	Youth60MinActivity	FruitVeg	StrongBelonging	HighLifeSatisfact	RegularHealthcare	ContactWithDoctor
Canada	2015/2016	12-17	All	77.6	4.3	12.4	5	3.9	1.7	4	N/A	59.8	30.2	84.6	97.6	82.5	59.3
Canada	2017/2018	12-17	All	74.9	6.3	12.7	4.5	3.3	1	3.8	N/A	57.8	N/A	85.2	97.8	86.5	N/A
Canada	2015/2016	12-17	Female	75.5	5.8	16.6	5.6	3.7	1.5	3.9	N/A	52.7	31.3	84.8	97.4	83.6	61
Canada	2017/2018	12-17	Female	70.7	8.2	17.1	6	3.7	1.2	4.2	N/A	51.6	N/A	86.6	97.3	88.3	N/A
Canada	2015/2016	12-17	Male 	79.6	2.9	8.4	4.4	4.1	2	4.1	N/A	66.4	29.1	84.4	97.8	81.4	57.6
Canada	2017/2018	12-17	Male 	79	4.5	8.6	3.1	3	0.9	3.5	N/A	63.5	N/A	84	98.2	84.8	N/A
Canada	2015/2016	18-34	All	71.1	7	21.6	8.5	21.7	12.9	29.8	67.6	N/A	30.8	61.9	95.4	72.5	63.8
Canada	2017/2018	18-34	All	66.3	9.1	22.9	9.5	19.3	11.1	29.2	66.2	N/A	N/A	62	95.1	74.3	N/A
Canada	2015/2016	18-34	Female	68.4	8.2	23.5	11	17.8	10.6	24.2	63	N/A	36.6	64.2	95.8	79.4	75.3
Canada	2017/2018	18-34	Female	61.8	11.1	24.9	12.4	15.3	9.4	24.2	61.1	N/A	N/A	64.3	95.1	81.2	N/A
Canada	2015/2016	18-34	Male 	73.8	5.9	19.6	6	25.6	15.1	35.3	72.2	N/A	25	59.6	95	65.7	52.5
Canada	2017/2018	18-34	Male 	70.8	7.1	20.8	6.7	23.2	12.8	34.2	71.1	N/A	N/A	59.6	95.1	67.6	N/A
Canada	2015/2016	35-49	All	71.7	6.4	29	8.9	19.3	14.1	21.4	60.1	N/A	32.4	67.2	93	83	73.6
Canada	2017/2018	35-49	All	69.2	7.3	28.4	9.4	18.4	13.2	23.1	59.4	N/A	N/A	67.2	93.2	83.6	N/A
Canada	2015/2016	35-49	Female	69.2	7.5	30.6	11.8	16.3	12.4	15.7	56.7	N/A	40.3	67.8	92.7	87.9	79.6
Canada	2017/2018	35-49	Female	66.8	8.2	30	11.8	14.2	10.5	18.2	56.9	N/A	N/A	68.3	92.8	88.2	N/A
Canada	2015/2016	35-49	Male 	74.4	5.3	27.4	6	22.2	15.9	27.2	63.6	N/A	24.4	66.5	93.4	77.9	67.6
Canada	2017/2018	35-49	Male 	71.6	6.5	26.8	6.9	22.7	16	28	61.9	N/A	N/A	66	93.6	78.9	N/A
Canada	2015/2016	50-64	All	71.2	7	24.1	9.5	20.6	16.7	18.9	57.2	N/A	29.5	67.9	90.7	88.7	79
Canada	2017/2018	50-64	All	69.7	7.5	23.9	10.1	19	15.4	18.9	55.1	N/A	N/A	68.2	91.2	89.8	N/A
Canada	2015/2016	50-64	Female	70	7.6	25.6	12	18.3	15	13.7	55	N/A	37.8	67.1	90.5	91.2	83.4
Canada	2017/2018	50-64	Female	68.5	8	24.2	12.7	16.6	13.4	14.2	53.1	N/A	N/A	67.8	91.1	91.8	N/A
Canada	2015/2016	50-64	Male 	72.5	6.4	22.6	7	22.8	18.4	24.1	59.4	N/A	21	68.7	90.9	86.1	74.5
Canada	2017/2018	50-64	Male 	70.9	7	23.5	7.5	21.4	17.4	23.6	57.2	N/A	N/A	68.6	91.4	87.8	N/A
Canada	2015/2016	65+	All	70.4	5.5	11.9	6.1	9.6	7.8	6.9	40.5	N/A	30.4	74.4	89.8	94	85.4
Canada	2017/2018	65+	All	71.8	5.2	10.9	6.8	9.8	7.8	7.6	38.9	N/A	N/A	75.9	90.8	94	N/A
Canada	2015/2016	65+	Female	69.5	5.5	13.4	7.5	8.7	6.9	4.2	36.8	N/A	36.6	74.3	89.7	94.2	85.3
Canada	2017/2018	65+	Female	71	5.1	12.4	7.9	8.8	7	4.8	35.2	N/A	N/A	75.6	90.6	94.4	N/A
Canada	2015/2016	65+	Male 	71.5	5.4	10.3	4.5	10.8	8.9	10.1	44.9	N/A	23.1	74.6	90	93.8	85.5
Canada	2017/2018	65+	Male 	72.7	5.3	9.1	5.5	10.8	8.7	10.9	43.2	N/A	N/A	76.3	90.9	93.7	N/A
Canada	2015/2016	Total	All	71.6	6.4	21.5	8.2	17.4	12.4	19.1	57.7	59.8	30.8	68.4	92.9	83.6	73.4
Canada	2017/2018	Total	All	69.4	7.4	21.4	8.8	16	11.3	19.3	56	57.8	N/A	68.9	93.1	84.9	N/A
Canada	2015/2016	Total	Female	69.7	7.2	23.2	10.4	14.8	10.7	14.4	53.9	52.7	37.4	69	92.7	87.4	79.2
Canada	2017/2018	Total	Female	67	8.3	22.8	11	13.3	9.6	15.1	52.4	51.6	N/A	69.8	92.9	88.5	N/A
Canada	2015/2016	Total	Male 	73.7	5.6	19.7	5.9	20	14.1	24	61.6	66.4	23.8	67.8	93	79.6	67.4
Canada	2017/2018	Total	Male 	71.9	6.4	19.9	6.5	18.9	13	23.7	59.7	63.5	N/A	68	93.4	81.1	N/A
Ontario	2015/2016	12-17	All	76.6	5	13.3	5.6	3.4	1.5	3.5	N/A	60	24.5	84.8	97.5	90.5	60.9
Ontario	2017/2018	12-17	All	71.7	7.3	13.7	4.7	3.2	0.8	3.3	N/A	57.7	N/A	84.8	98	92.6	N/A
Ontario	2015/2016	12-17	Female	73.9	7.3	17.9	6	3	1.1	2.9	N/A	50.7	25.1	86.8	97.2	91.7	62.8
Ontario	2017/2018	12-17	Female	66.5	9.9	18.8	6.5	3.1	0.9	4.2	N/A	50.4	N/A	86.4	98	92.8	N/A
Ontario	2015/2016	12-17	Male 	79.1	2.8	8.9	5.3	3.7	1.9	4.1	N/A	68.5	24	83	97.7	89.3	59.1
Ontario	2017/2018	12-17	Male 	76.7	4.8	8.9	3	3.2	0.7	2.4	N/A	64.5	N/A	83.4	98	92.4	N/A
Ontario	2015/2016	18-34	All	69.8	7.5	21.2	8.8	20.8	12.1	29	67.2	N/A	26.7	64.1	95.1	81.8	64.7
Ontario	2017/2018	18-34	All	65.4	9.6	22.5	9.9	17.5	10.4	26.3	64.9	N/A	N/A	63	95	82.6	N/A
Ontario	2015/2016	18-34	Female	67.7	8.8	24.5	11.1	15.9	9.6	23.8	63.5	N/A	32.1	67.7	95.8	86.5	74.4
Ontario	2017/2018	18-34	Female	61	12.7	23.9	12.9	13.4	8.7	21.9	60.2	N/A	N/A	65.8	95.2	87	N/A
Ontario	2015/2016	18-34	Male 	71.9	6.2	18	6.5	25.7	14.5	34.3	70.9	N/A	21	60.5	94.4	77.1	54.9
Ontario	2017/2018	18-34	Male 	69.9	6.6	21	7	21.5	12.1	30.7	69.5	N/A	N/A	60.1	94.8	78.1	N/A
Ontario	2015/2016	35-49	All	73.1	6.6	28.7	9	18.2	13.5	19	60.2	N/A	30	69.3	92.7	90.5	73.9
Ontario	2017/2018	35-49	All	69.7	7.4	27.6	9.6	17.7	12.3	20.9	58.9	N/A	N/A	69.8	93.3	90.1	N/A
Ontario	2015/2016	35-49	Female	70.2	8	29.4	11.8	14.9	11.4	12.9	57.3	N/A	36.7	69.8	92.2	94.2	79
Ontario	2017/2018	35-49	Female	68	8.5	28.5	12.2	12.7	9	16.7	57.4	N/A	N/A	71	92.4	92.8	N/A
Ontario	2015/2016	35-49	Male 	76.1	5.1	27.9	6	21.8	15.8	25.5	63.3	N/A	22.8	68.9	93.2	86.6	68.7
Ontario	2017/2018	35-49	Male 	71.5	6.3	26.6	6.9	23	15.7	25.4	60.5	N/A	N/A	68.6	94.2	87.4	N/A
Ontario	2015/2016	50-64	All	69.9	7.4	25.5	10.5	21	17	18.9	56.3	N/A	27.6	71.4	90.3	93.8	79.3
Ontario	2017/2018	50-64	All	69.8	8.1	24.9	11	18.9	15.9	17.9	53.2	N/A	N/A	70.1	91.5	93.2	N/A
Ontario	2015/2016	50-64	Female	68.3	8.3	26.6	12.5	18.3	14.8	13.5	53.9	N/A	35.3	70.4	90.4	94.7	83.5
Ontario	2017/2018	50-64	Female	69.2	8.5	25.4	13.1	16	13.4	13	52.6	N/A	N/A	70.2	91.2	95	N/A
Ontario	2015/2016	50-64	Male 	71.5	6.5	24.4	8.3	23.8	19.3	24.5	58.8	N/A	19.7	72.3	90.2	92.9	75
Ontario	2017/2018	50-64	Male 	70.4	7.8	24.5	8.8	21.9	18.5	22.8	53.9	N/A	N/A	70.1	91.9	91.4	N/A
Ontario	2015/2016	65+	All	69.9	6.2	13.8	7.1	8.7	7.1	6.2	40.8	N/A	28.1	77.2	89.4	96.1	85.2
Ontario	2017/2018	65+	All	71.7	5.5	12	7.1	9.3	7.7	6.6	38	N/A	N/A	79.3	90.5	95.9	N/A
Ontario	2015/2016	65+	Female	69	6.1	15.3	8.8	7.9	6.3	3.3	37.4	N/A	31.9	77.1	89.9	96.5	85.2
Ontario	2017/2018	65+	Female	71	5.8	14.3	8.1	8.1	6.8	4.5	35.5	N/A	N/A	78.4	90.2	95.9	N/A
Ontario	2015/2016	65+	Male 	71.1	6.3	12	5.2	9.7	7.9	9.7	44.7	N/A	23.3	77.4	88.8	95.5	85.2
Ontario	2017/2018	65+	Male 	72.7	5.1	9.2	5.9	10.6	8.8	9	40.8	N/A	N/A	80.4	90.9	95.9	N/A
Ontario	2015/2016	Total	All	71.1	6.9	22	8.7	16.7	11.9	18.2	57.4	60	27.8	70.9	92.6	89.9	73.7
Ontario	2017/2018	Total	All	69.1	7.9	21.6	9.2	15.3	10.9	17.6	54.9	57.7	N/A	70.8	93.2	90.1	N/A
Ontario	2015/2016	Total	Female	69.1	7.9	23.9	10.8	13.8	10	13.3	54.1	50.7	33.5	71.9	92.6	92.5	78.8
